suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Taigum|1750000|380000|0.22|264498|189432|5.2|25|21|0|125|1515.46|0|52|1443.58|0|18|3|2|0|1| No hours| Resort Brokers|Jane Fang|" Wi-Fi, Foxtel, Pool, BBQ
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Taigum-QLD-3880381|"Cracking Management Rights Opportunity in Taigum | Resort Brokers ID : MR005318
              "|These two cracking management rights businesses must be sold together. Located next door to each other in the suburb of Taigum, which is becoming a very popular North Brisbane location.|" It is an open three bedroom, two bathroom
townhouse. It features air conditioning and ceiling
fans throughout.
The layout of the residence features a nice kitchen with bench
space with living and dining together giving an open plan feel. The
bedrooms are all neat and tidy with the master bedroom
consisting of built in wardrobe and ensuite.
The outdoor living space is perfect for children and/or a small pet.
The office is exclusive-use to the manager and on title. This office
is of medium size with a separate entry to service tenants and
owners.
Equipment in the office is part of the sale and will be passed onto
the incoming manager.
                       "|yes| 2 months ago.|3880381|2018-08-22
Newstead|4689353|0|0|919481|350000|5.1|25|25|0|319|0|0||0|0|0|2|2|1|0| 8am-5pm M-F, 8am-12pm Sat| Resort Brokers|Tim Crooks|" Concierge, health&wellness centre
Private residentsâ lounge and dining with associated kitchen,
Podium level outdoor landscaped terrace and fire pit
Outdoor kitchen/BBQ and dining
Communal space and island bar
Billiard table, private theatre room
Landscaped rooftop garden terrace with outdoor kitchen/BBQ and dining
Pools and spa
Outdoor cinema
Putting green and lounging areas
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3865268|"2 Towers, 319 Apartments, 1 Body Corporate | Resort Brokers ID : OTP004954
              "|Highly anticipated, Kokodas premier Brisbane development, Chester&Ella, is a residential oasis with upscale hotel amenity situated in the heart of energetic Newstead|" Ground floor apartment - located in Ella
Total living area of 87m2, including a 16m2 outdoor terrace.
                       "|yes| 11 months ago.|3865268|2018-08-22
Newstead|575208|0|0|110617|51984|5.2|25|23|0|35|1485.26|6|48|1221.52|0|7|0|0|0|0| No| Resort Brokers|Jessica  Wilkie|" rooftop entertainment area
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3881065|"Business Only In Newstead! Very Low Maintenance! Perfect Add On! | Resort Brokers ID : MRB005338
              "|Genuine Business-Only Management Rights in the heart of Newstead. There is  no need to buy real estate or live onsite and there are no set office hours.  Extremely low maintenance building with a rooftop entertainment area however there is no pool, gym or any mowing! The building consists of 48 stunning one and two bedroom apartments with 35 in the letting pool.|" 
                       "|no| 2 months ago.|3881065|2018-08-22
Morningside|970000|580000|0.6|98127|63718|4|25|22|17|40|1592.95|17|18|1911.61|0|5|3|3|2|1| | Raine & Horne Onsite Rights|Mark Fluhart|" Mixture of 3 different floor plans, recreation area, guest parking and street parking whilst in a neat, quiet suburb and great community to live in. Well-appointed just minutes from the CBD and an easy stroll to university, hospitals and buses, this is the ideal inner city lifestyle for tenants and owners alike.  Standard unit features include: 3bed, 2 bath, double lock up garage, large kitchen and living areas, small courtyard at rear of all properties.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Morningside-QLD-3862494|"MANAGEMENT RIGHTS - MORNINGSIDE
              "|The complex has a quaint inner city lifestyle, close to sporting complexes and shops, making it ideal for anyone with different needs. Mixture of 3 different floor plans, recreation area, guest parking and street parking whilst in a neat, quiet suburb and great community to live in. Well-appointed just minutes from the CBD and an easy stroll to university, hospitals and buses, this is the ideal inner city lifestyle for tenants and owners alike.|" Freshly painted managerâs unit with lots of room for an entire family or the extra space for your guests. A warm greeting awaits with spacious open plan living and cathedral high ceilings which allow for a natural light filled residence. The modern kitchen is equipped with stainless steel appliances, dishwasher, ample bench  cupboard space. The well-appointed kitchen adjoins the living areas and overlooks your private courtyard which is suitedfor entertaining.Extra features include:Ceiling fans, ducted Air Conditioning, Dual vanity basins in ensuite, Freshly painted with natural tones, Functional floor plan, Two storey residence offering privacy.
                       "|Yes| 2 months ago.|3862494|2018-08-22
Wynnum|950000|475000|0.5|100000|66000|4.8|25|22|19|42|1571.43|21|20|1700|0|1|3|2|1|1| No Set Hours| Property Bridge|Bobo Qi|" Gated Townhouse Complex, Pool, BBQ, Parklands adjoining waterfront and walkways
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Wynnum-QLD-3864717|"PRICED TO SELL
              "|Great starter business for industry beginners or retirees looking to top up their income.|" Renovated townhouse, large private back yard, spacious office, 3 Bedroom
                       "|Yes| 1 week ago.|3864717|2018-08-22
Redcliffe|819000|395000|0.48|103952|60050|4.1|25|18|0|44|1364.77|9|21|2090.57|0|7|2|2|1|1| NIL| Raine & Horne Onsite Rights|Joanne Piercy|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Redcliffe-QLD-3865307|"Looking for a Sea change?
              "|Here is an opportunity to live the dream and enjoy the idyllic seaside location whilst earning an income .|" 
                       "|Yes| 6 months ago.|3865307|2018-08-22
Bowen Hills|398061|0|0|86535|37000|4.6|25|25|0|37|1000|1|28|1769.11|0|5|0|0|0|0| Nil| Resort Brokers|Gareth Closter|" There are no common facilities that would add duties to the caretakers workload.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BowenHills-QLD-3880536|"Inner-City Business Only Management Rights With Attractive Multiplier! | Resort Brokers ID : MRB005319
              "|This modern apartment building offers the successful buyer a great opportunity to secure a low maintenance building that is well positioned in the letting market and is always full.|" Nil
                       "|yes| 2 months ago.|3880536|2018-08-22
Kallangur|910445|445000|0.49|116361|61200|4|25|25|0|51|1200|2|45|1225.8|0|4|3|2|0|1| | Resort Brokers|Brent Staker|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Kallangur-QLD-3873437|"Be Quick!!! Amazing 51 Town House Development Ready and Raring to Go | Resort Brokers ID : MR005161
              "|Resort Brokers Australia is proud to present to the market a brand new management rights complex. This development built by Vantage Building Group is located in the Northern Brisbane suburb of Kallangur. This townhouse complex, which consists of 51 town homes and villas, one of which is the designated managers residence, is brand new and partially operating.|" Open plan living, natural light, three bedrooms, 2 bathrooms, ceiling fans throughout, as well as air-conditioner, quality appliances and fittings.
                       "|yes| 6 months ago.|3873437|2018-08-22
STRATHPINE|0|385000||172000|135000|4.8|25|20|0||0|0|30|0|0|0|3|1|1|1| NO| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/STRATHPINE-qld-3871833|"Great Lifestyle Business
              "|- Great complex with high salary per unit|" 
                       "|No| 5 months ago.|3871833|2018-08-22
Meadowbrook|752000|380000|0.51|74400|36407|5|25|21|0||0|0|26|0|0|0|3|2|2|1| No set of office hours| Shine Realty|Celine Tseng|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Meadowbrook-QLD-3873899|"Convenient location! Solid income!
              "|This is a quiet and beautifully maintained complex sitting at an excellent location. It boasts a five minute walk from the Griffith University Logan Campus and a close proximity to the Logan Hospital and TAFE. It features easy access to public transport, and is within a convenient few minute's drive to the Hyperdome Shopping Centre, Logan Motorway and Pacific Motorway. This is a stable business, perfect in size for the starter in management rights. It has great potential to grow in the business sector. Call the Shine hotline today for more information or book your inspection. |" 
                       "|Yes| 3 weeks ago.|3873899|2018-08-22
Daisy Hill|1040000|420000|0.4|117500|76000|5.3|25|20|0||0|0|32|0|0|0|3|2|2|1| No set of office hours| Shine Realty|Celine Tseng|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DaisyHill-QLD-3865513|"LOW MAINTENANCE AND EASY TO RUN!
              "|This quiet complex is well located in the southern suburbs of Brisbane. It is conveniently positioned within a short distance of shopping centres, bus stops and major schools. Within a minutes' drive of the Logan Hyperdome. The manager's unit features a generous 3 bedrooms, 2 bathrooms and 2 car-parks, facilitating flexible day-to-day living. Very minimal outside work and care-taking required- the neatly manicured complex is easy to run. The business attracts an income perfectly sized for one. Call today for more information or book your inspection, and you wont be disappointed by the laid back and low-maintenance lifestyle this complex has to offer. |" 
                       "|Yes| 3 weeks ago.|3865513|2018-08-22
Eight Mile Plains|0|0||160000|85000|7.2|25|0|0||0|0|53|0|0|0|4|2|2|1| None| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-qld-3871444|"Best Location, First Class Business
              "|Key Features:|" 
                       "|No| 4 months ago.|3871444|2018-08-22
Forest Lake|1250000|365000|0.29|171000|81114|3.7|25|20|0||0|0|39|0|0|7|3|2|1|1| NONE| SIRE Management Rights|Richard  Jessica|" - Low Maintenance- Minimal Caretaking Duties
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/ForestLake-QLD-3876020|"Excellent Location - Make an offer!
              "|- Easy to run business|" - Spacious 190m2 floor area- Office on title- Highset- Air-conditioned- Private courtyard
                       "|No| 2 months ago.|3876020|2018-08-22
Burpengary|650000|0|0|131000|87000|5|25|24|0||0|0|34|0|0|0|0|0|0|0| NONE| SIRE Management Rights|Richard  Jessica|" - Low Maintenance- Good location- Close to transport  schools  shopping centres- Very Good
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Burpengary-QLD-3876325|"Excellent MR - No Unit To Buy!
              "|- Enjoy the ROI for this ideal MR|" - No Managers Unit- This makes this business very high ROI
                       "|No| 3 months ago.|3876325|2018-08-22
Hamilton|1061500|0|0|193000|131000|5.5|25|23|2||0|0|41|0|0|0|0|0|0|1| NONE| SIRE Management Rights|The SIRE Team|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hamilton-QLD-3875090|"No Unit To Buy, Not Required To Live Onsite - Nice
              "|- Easy to run business|" No Managers Unit To Buy - Nice
                       "|No| 3 months ago.|3875090|2018-08-22
Deception Bay|1380000|360000|0.26|212700|110391|4.8|25|20|10|80|1379.89|0|54|1894.61|0|0|3|2|1|1| NONE| SIRE Management Rights|Richard  Jessica|" - Low maintenance complex- Easy to operate
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DeceptionBay-QLD-3877293|"Perfect Location, Great Business Opportunity!
              "|- Easy to run business|" 3 Beds, 2.5 Baths, SLUG, Private Courtyard
                       "|No| 4 months ago.|3877293|2018-08-22
Springfield|870000|345000|0.4|114750|61411|4.6|25|21|0|38|1616.08|7|27|1975.52|0|2|3|2|2|1| None| Next International Realty Pty Ltd|David Janett - Patrick Leou|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Springfield-QLD-3876127|"Perfect Management Rights for the beginner or Semi Retired!
              "|This complex presents an outstanding opportunity for a young couple to make their first foray into management rights. You won't find a better starter complex. Or someone looking at semi-retirement. Easily run by one person allowing a couple to still have other jobs for extra income.|" 
                       "|No| 2 weeks ago.|3876127|2018-08-22
